model,task,output,bleu_score
codellama,0,output_0,3.9284
codellama,0,output_3,1.8212
codellama,1,output_0,30.4056
codellama,1,output_3,25.9249
codellama,2,output_0,24.3239
codellama,2,output_3,42.6469
codellama,3,output_0,20.0336
codellama,3,output_3,50.5099
codellama,4,output_0,23.5884
codellama,4,output_3,30.1304
codellama,5,output_0,3.5538
codellama,5,output_3,0.3189
codellama,6,output_0,33.4018
codellama,6,output_3,33.4018
codellama,7,output_0,4.3682
codellama,7,output_3,14.3220
codellama,8,output_0,15.7811
codellama,8,output_3,12.4970
codellama,9,output_0,19.4833
codellama,9,output_3,23.5105
codellama,10,output_0,32.2631
codellama,10,output_3,37.5863
codellama,11,output_0,36.3147
codellama,11,output_3,38.6145
codellama,12,output_0,17.4691
codellama,12,output_3,27.8049
codellama,13,output_0,59.2303
codellama,13,output_3,59.2303
codellama,14,output_0,10.9155
codellama,14,output_3,17.5397
codellama,15,output_0,21.8193
codellama,15,output_3,21.3661
codellama,16,output_0,31.2123
codellama,16,output_3,25.7175
codellama,17,output_0,37.3315
codellama,17,output_3,32.2673
codellama,18,output_0,1.9837
codellama,18,output_3,4.3612
codellama,19,output_0,10.8794
codellama,19,output_3,66.1460
meta-llama,0,output_0,6.5189
meta-llama,0,output_3,0.8660
meta-llama,1,output_0,2.7662
meta-llama,1,output_3,41.6577
meta-llama,2,output_0,2.9164
meta-llama,2,output_3,26.5297
meta-llama,3,output_0,17.8983
meta-llama,3,output_3,15.4078
meta-llama,4,output_0,2.2633
meta-llama,4,output_3,28.7879
meta-llama,5,output_0,8.6568
meta-llama,5,output_3,1.5784
meta-llama,6,output_0,2.6443
meta-llama,6,output_3,25.8301
meta-llama,7,output_0,6.3310
meta-llama,7,output_3,10.2876
meta-llama,8,output_0,4.7219
meta-llama,8,output_3,11.8543
meta-llama,9,output_0,11.6742
meta-llama,9,output_3,13.3704
meta-llama,10,output_0,3.4502
meta-llama,10,output_3,29.0419
meta-llama,11,output_0,4.4161
meta-llama,11,output_3,38.9672
meta-llama,12,output_0,12.9892
meta-llama,12,output_3,24.3959
meta-llama,13,output_0,3.3644
meta-llama,13,output_3,59.2303
meta-llama,14,output_0,2.8949
meta-llama,14,output_3,10.8544
meta-llama,15,output_0,9.5054
meta-llama,15,output_3,14.4886
meta-llama,16,output_0,6.6454
meta-llama,16,output_3,7.5223
meta-llama,17,output_0,9.5596
meta-llama,17,output_3,50.6304
meta-llama,18,output_0,6.6049
meta-llama,18,output_3,2.4163
meta-llama,19,output_0,16.4787
meta-llama,19,output_3,23.3416
